Title,Accession ID,Description,GEO
Unraveling potential gene biomarkers for dengue infection through RNA sequencing,PRJNA1171376;,No description available,GSE279208
"Genome-scale CRISPR knockout screen for Dengue, Japanese Encephalitis, and Human Coronavirus 229E viruses",PRJEB72157,No description available,
scRNAseq analysis of DENV-2 infected B cells,PRJNA1158826;,"Dengue virus (DENV) is the causative agent of dengue, a mosquito-borne disease that represents a significant and growing public health burden around the world. A unique pathophysiological feature of dengue is immune-mediated enhancement, wherein preexisting immunity elicited by a primary infection can enhance the severity of a subsequent infection by a heterologous DENV serotype. A leading mechanistic explanation for this phenomenon is antibody dependent enhancement (ADE), where sub-neutralizing concentrations of DENV-specific IgG antibodies facilitate entry of DENV into FcR expressing cells such as monocytes, macrophages, and dendritic cells. Accordingly, this model posits that phagocytic mononuclear cells are the primary reservoir of DENV. However, analysis of samples from individuals experiencing acute DENV infection reveals that B cells are the largest reservoir of infected circulating cells, representing a disconnect in our understanding of immune-mediated DENV tropism. In this study, we demonstrate that the expression of a DENV-specific B cell receptor (BCR) renders cells highly susceptible to DENV infection, with the infection-enhancing activity of the membrane-restricted BCR correlating with the ADE potential of the IgG version of the antibody. In addition, we observed that the frequency of DENV-infectable B cells increases in previously flavivirus-naïve volunteers after a primary DENV infection. These findings suggest that BCR-dependent infection of B cells is a novel mechanism immune-mediated enhancement of DENV-infection.
Overall design: The DENV-specific B cell line 7B9 was infected with DENV-2 for 24 hrs, washed, then incubated for and additional 24 hours prior to harvest and analysis by scRNAseq. A parallel uninfected/control culture was cultured and analyzed in a parallel fashion.Less...",GSE276766
A novel method for characterizing cell-cell interactions at single-cell resolution reveals unique immune signatures in blood T cell-monocyte complexes during infection (Dengue scRNA-Seq),PRJNA1139796;,"We designed a novel method to study the transcriptome of single cells forming complexes in a high-throughput fashion, without the need for bioinformatic deconvolution. We applied this method to the study of T cells and monocytes forming complexes in blood isolated from individuals with dengue fever, with blood collected at the acute and convalescent phase of infection. We found that the transcriptomic signatures of T cells and monocytes forming complexes significantly overlapped with those identified in T cell-monocyte complexes in active tuberculosis, with upregulation of genes associated with T cell activation, cytotoxicity, cell adhesion and MHC-II. Thus, using our novel method, we identified that T cells and monocyte forming complexes in blood hold unique immune signatures distinct from singlets, and that they may be a previously overlooked valuable biomarker to monitor immune synaptic interactions during infection.
Overall design: PBMC were isolated, cryopreserved and thawed on the day of the experiment. T cell-monocyte complexes were identified by flow cytometry as live CD3+CD14+CD19- events and sorted in bulk. Cell sorting effectively disrupts the physical connection between cells forming complexes, with the vast majority of resulting cells being singlet CD3+ or singlet CD14+ cells remaining in suspension. The single-cell suspension was then used for droplet single-cell sequencing using the 10X genomics platform.
-----------------------------------
Authors state the following concerning the raw data ""privacy concerns"".Less...",GSE273017
Glycerophospholipid remodeling is critical for orthoflavivirus infection,PRJNA1101937;,"Flavivirus infection is tightly connected to host lipid metabolism. Here, we performed shotgun lipidomics of cells infected with neurotropic Zika, West Nile, and tick-borne encephalitis viruses, as well as dengue and yellow fever virus. Early in infection specific lipids accumulated, e.g., neutral lipids in Zika and some lyso-phospholipids in all infections. Ceramide levels increased following infection with viruses that cause a cytopathic effect. In addition, fatty acid desaturation as well as glycerophospholipid metabolism were significantly altered. Importantly, depletion of enzymes involved in phosphatidylserine metabolism as well as phosphatidylinositol biosynthesis reduced orthoflavivirus titers and cytopathic effects while inhibition of fatty acid monounsaturation only rescued from virus-induced cell death. Interestingly, interfering with ceramide synthesis had opposing effects on virus replication and cytotoxicity depending on the targeted enzyme. Thus, lipid remodeling by orthoflaviviruses includes distinct changes but also common patterns shared by several viruses that are needed for efficient infection and replication.
Overall design: Shotgun lipidomics and transcriptomics of cells infected with neurotropic Zika, West Nile, and tick-borne encephalitis viruses, as well as dengue and yellow fever virus. Early in infection specific lipids accumulated, e.g., neutral lipids in Zika and some lyso-phospholipids in all infections.Less...",GSE264306
Unraveling the Complexity of Chikungunya Virus Infection: immunological and genetic insights in acute and chronic patients,PRJEB74939,"The chikungunya virus (CHIKV), transmitted by infected Aedes mosquitoes, has caused a significant number of infections worldwide. In Brazil, the emergence of the CHIKV-ECSA genotype in 2014 posed a major public health challenge due to its association with more severe symptoms. This study aimed to shed new light on the host immune response by examining the profile of both CHIKV-acute and chronically infected individuals from Feira de Santana, Bahia, Brazil, a region heavily affected by CHIKV, Dengue, and Zika virus epidemics. Our data reveal a complex symptomatology characterized by arthralgia and post-chikungunya neuropathy in chronic individuals, particularly affecting women leaving in socially vulnerable situations. Analysis of genetic modules suggests heightened metabolic processes and cap methylation in acute patients. In contrast, chronic individuals exhibit distinct pattern of histone methylation and T-cells differentiation, alongside alterations in the immunological response. Overall, our findings underscore the intricate nature of disease progression in CHIKV infections, highlighting the diverse scenarios encountered in both acute and chronic stages. Moreover, our identification of new genic modules offers valuable insights into the underlying mechanisms driving these distinct disease manifestations.Less...",
Transcriptional profile of human monocyte-derived macrophages stimulated with Interleukin 27,PRJNA1095003;,"Interleukin 27 (IL-27) is a member of the IL-6 and/or IL-12 family that elicits both pro- and anti-inflammatory responses. Interferons (IFNs) are a family of cytokines that activate the JAK-STAT signaling pathway to induce an antiviral state in cells. Recent studies have reported that IL-27 also induces a robust antiviral response against diverse viruses, both in vitro and in vivo, suggest that IFNs and IL-27 share many similarities at the functional level. However, it is still unknown how similar or different IFN- and IL-27-dependent signaling pathways are. We reported that IFNs and IL-27 activate JAK-STAT signaling and induce shared pro-inflammatory and antiviral pathways in monocyte-derived macrophages (MDMs), leading to the common and unique expression of inflammatory factors and IFN-stimulated genes (ISGs). Importantly, the ability of IL-27 to induce those responses is independent of IFN induction and cellular lineage. Additionally, functional analysis demonstrated that like IFNs, IL-27-mediated response reduced chikungunya and dengue viruses replication in MDMs. In summary, IL-27 exhibits properties similar to those of all three types of human IFN, including the ability to stimulate a protective antiviral response.
Overall design: Human primary FBS-MDMs cultures (n= 3) were either stimulated or not with 25 ng/mL recombinant-human IL27 for 18 hours and mRNA sequencing was then performed using bulk RNA-seqLess...",GSE262963
Integration of miRNA-lncRNA-gene expression to unveil a regulatory role in dengue severity progression,PRJNA1078747,"This study aimed to enhance the understanding of early mechanisms associated with the progression to severe dengue by analyzing total and small RNA transcriptomes from whole blood samples of Brazilian patients. We simultaneously perform genome-wide miRNA and gene expression analysis of the same patients, providing a comprehensive view of gene regulation in severe dengue across different disease stages. The cohort, comprising 70 individuals, was stratified into three groups based on clinical classification and availability of clinical material: (I) classical DENV infection, (II) WS DENV infection, and (III) severe DENV infection. Group I consisted of 26 subjects, Group II comprised 24 subjects, and Group III included 20 subjects. Whole blood samples (3 mL) were collected from all patients in Tempus tubes following standard procedures. Total RNA was extracted from these samples using the MagMax for Stabilized Blood Tubes RNA Isolation Kit (ThermoFisher, San Jose, CA, USA) as per the instructions of the manufacturer. Total RNA libraries were prepared using the TruSeq Stranded Total RNA Library Prep kit with RiboZero Gold (Illumina, San Diego, California, USA) following the protocol of the manufacturer, and sequencing was performed with the Illumina NextSeq 500/550 High Output kit v2.5 (150 Cycles). The small RNA library was prepared using the TruSeq Small RNA Library Preparation kit (Illumina, San Diego, California, USA) according to the protocol of the manufacturer, and sequenced using the Illumina NextSeq 500/550 High Output kit v2.5 (75 Cycles). Signatures associated with immune response evasion, inflammation modulation, viral entry, spread, and vascular permeability were linked to poor prognosis. Collectively, these findings elucidate features of regulation of gene expression in severe dengue progression, shedding light on factors contributing to worsened prognosis in the studied cohort.Less...",
"Macrophages derived from human induced pluripotent stem cells (iPSCs) serve as a high-fidelity cellular model for investigating HIV-1, dengue, and influenza viruses",PRJNA1063364;,"Macrophages are important target cells for diverse viruses, and thus represent a valuable model system for studying virus biology. Isolation of primary human macrophages is done by culture of dissociated tissues or from differentiated blood monocytes, but these methods are both time consuming and result in low numbers of recovered macrophages. Here, we explore whether macrophages derived from human induced pluripotent stem cells (iPSCs)—which proliferate indefinitely and potentially provide unlimited starting material— could serve as a faithful model system for studying virus biology. Human iPSC-derived monocytes were differentiated into macrophages and then infected with HIV-1, dengue virus, or influenza virus as model macrophage-tropic human viruses. We show that iPSC-derived macrophages supported the replication of these viruses with similar kinetics and phenotypes to human blood monocyte-derived macrophages. These iPSC-derived macrophages were virtually indistinguishable from human blood monocyte-derived macrophages based on surface marker expression analysis (flow cytometry), transcriptomics (RNA-seq), and chromatin accessibility profiling (ATAC-seq) approaches. iPSC lines were additionally generated from nonhuman primate (chimpanzee) fibroblasts. When challenged with dengue virus, human and nonhuman primate iPSC-derived macrophages show differential susceptibility to infection, thus providing a valuable resource for studying the species-tropism of viruses. Collectively, our results substantiate iPSC-derived macrophages as an alternative to blood monocyte-derived macrophages for the study of virus biology.
Overall design: We differentiated human iPSCs into hematopoietic stem progenitor cells (HSPCs), then differentiated those HSPCs into monocytes. Monocytes were loosely adherent to the HSPCs  and were readily harvested by gentle washing of the cell monolayer with growth media every 4-5 days, followed by media replacement for continued growth.  We next confirmed that iPSC derived monocytes could differentiate into macrophages and polarize into phenotypically distinct subtypes. Adherent monocytes were treated with macrophage colony stimulating factor for four days to generate naïve macrophages. M0 macrophages were then polarized into M1 or M2 subsets using interferon-gamma and lipopolysaccharide or interleukin-4, respectively. To examine whether blood- and iPSC-derived macrophages exhibit similar transcriptional profiles, we carried out transcriptomic and chromatin accessibility analyses of all cell types during differentiation and subsequent polarization via RNA-sequencing (RNA-seq) and Assay for Transposase-Accessible Chromatin-sequencing (ATAC-seq).Less...",GSE252979
Unravelling tRNA Fragments in DENV Pathogenesis: Insights from RNA Sequencing,PRJNA1026910;,"tRNA-derived small RNA including tRNA-derived fragments (tRFs) and tRNA halves (tiRNAs) plays significant roles in the various molecular mechanisms that underlie certain human diseases. of the generation of tRFs/tiRNAs and their potential roles during Dengue virus (DENV) infection is not yet known.  Here, we have performed small RNA sequencing to identify the generation and alterations in tRF expression profiles of DENV infected Huh7 cells. Our results suggest that 733 tiRNAs/tRFs were found to be differentially expressed during DENV infection. Interestingly, 3’tRF population were found to be upregulated and i-tRF population were found to be downregulated. Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) were performed to analyze the impact of differentially expressed tRFs on DENV pathogenesis. Our results suggest the significant involvement in transcriptional regulation via RNA polymerase II promoter and metabolic pathways. Overall, our study contributes significantly to our understanding of the roles played by tRFs in the complex dynamics of DENV infection.
Overall design: we conducted a comprehensive RNA sequencing analysis to decipher the distinctive patterns of tRFs/tiRNAs in DENV-infected Huh7 cell lines relative to mock-infected controls. For RNA sequencing, triplicate samples were provided of Mock infected Huh7 cells, 0hr DENV infected Huh7 cells (i.e. 2 hrs post adsorption) and48hrs DENV ijfected Huh7 cells.Less...",GSE245081
